property_id,sale_date,area_sqft,bedrooms,bathrooms,location_score,property_age,distance_city_km,near_school,near_metro,crime_rate_index,house_price_inr
200001,1/1/2014,2181,6,4,8.1,21,3.8,0,0,4.84,35154898
200002,12/1/2019,2383,5,4,5.3,28,10.9,1,1,2.89,26710893
200003,10/1/2016,1047,3,3,5.9,7,27.5,0,1,4.04,11216242
200004,3/1/2013,1753,4,3,7,27,12.1,0,0,3.28,21984310
200005,7/1/2013,1728,4,4,10,32,1.4,0,1,3.84,25080429
200006,9/1/2017,2555,5,3,3.2,25,20.6,0,0,5.63,19298164
200007,3/1/2017,2460,6,5,9,20,6.9,0,1,4.86,42510938
200008,4/1/2022,1880,3,3,6.3,19,10.6,1,1,2.52,19892683
200009,2/1/2019,1057,2,3,8.4,13,5.1,0,0,4.93,13052453
200010,7/1/2017,1022,4,3,5.3,59,16.5,1,1,4.9,9146947
200011,12/1/2018,1521,3,2,8.8,30,1,0,1,4.53,20760706
200012,8/1/2019,1272,2,2,3.5,7,13.8,0,0,0.54,10755029
200013,10/1/2020,1977,4,3,2.9,15,26.7,1,1,2.12,14795896
200014,12/1/2020,2400,4,3,7.1,30,13.5,1,0,5.23,32251580
200015,8/1/2018,1157,3,3,9.5,22,5.9,1,1,4.06,14615008
200016,6/1/2017,1134,3,2,6.3,27,8.5,1,0,9.85,12284878
200017,5/1/2016,2281,4,4,6.4,16,16.9,0,0,2.81,28457652
200018,3/1/2014,1952,4,3,6.7,15,17.2,1,1,5.57,23632881
200019,10/1/2010,1449,3,3,5.7,32,18.2,1,1,7.84,15998558
200020,12/1/2017,1771,3,2,6.9,18,19.4,0,0,0.5,23123981
200021,10/1/2022,622,2,2,9.6,17,6,1,1,4.27,10013911
200022,4/1/2010,1436,2,1,6,25,16.9,1,1,4.99,13445725
200023,11/1/2021,1595,3,2,9.9,15,4.8,1,1,3.43,24072054
200024,9/1/2017,1231,2,2,5.4,17,13.4,0,0,5.41,9848859
200025,6/1/2020,3345,7,5,7.2,13,11.7,1,1,0.61,46353919
200026,6/1/2016,3331,7,6,9.2,21,10,1,1,0.5,55218658
200027,9/1/2013,1126,2,2,8.3,18,5.6,1,1,4.31,12918395
200028,2/1/2022,1203,1,2,7.1,26,9.3,0,0,1.79,14731325
200029,12/1/2022,3230,7,5,7.9,19,13.3,1,1,6.19,50514830
200030,12/1/2015,2494,4,3,7,43,11.2,0,0,2.1,33938737
200031,2/1/2018,3604,7,6,8.7,44,10.7,0,1,6.34,49308274
200032,7/1/2018,1832,3,4,7.2,17,7.7,1,0,3.42,25959432
200033,7/1/2017,1473,4,3,5.4,19,15.9,1,0,2.83,17172316
200034,11/1/2015,1710,3,3,5.8,23,13.3,1,1,1.75,18812421
200035,2/1/2010,2567,5,5,4.7,48,17.2,1,1,4.57,25807574
200036,8/1/2021,1433,3,3,7,18,8.3,0,1,3.14,17340881
200037,6/1/2023,1865,4,4,8.1,15,15.8,1,0,4.8,27945825
200038,8/1/2010,2385,4,3,2.9,13,23.5,0,1,7.2,16352333
200039,8/1/2012,1083,1,1,5.3,24,14.6,1,0,5.29,10319105
200040,11/1/2018,1878,3,2,10,12,10.8,0,0,5.34,34407188
200041,8/1/2019,730,2,1,7.3,35,7.1,0,0,6.81,7693292
200042,8/1/2016,1716,4,3,5,14,14.5,0,0,1.73,17765552
200043,2/1/2014,1456,3,3,6,28,18,1,0,0.54,16761772
200044,5/1/2019,2390,6,5,8.3,15,10.2,1,1,8.27,40953578
200045,8/1/2017,2502,4,4,2.5,14,25.1,1,1,4.3,16080152
200046,4/1/2013,2090,4,2,6.2,13,16.3,0,1,6.98,27899411
200047,12/1/2013,2133,5,4,8.3,11,9.6,1,1,4.11,29448437
200048,8/1/2018,1638,3,2,4.5,9,14.7,1,0,3.28,16877461
200049,6/1/2013,647,2,3,4.7,22,25.1,0,0,0.58,6006314
200050,12/1/2010,1832,3,2,8.2,17,15.6,1,0,8.45,23681018
200051,11/1/2011,1947,6,6,8,24,14.2,0,1,2.71,25827288
200052,11/1/2010,2223,4,4,3.4,22,17.6,0,0,4.81,17748644
200053,1/1/2010,2149,5,4,4.2,2,16.7,1,1,5.75,18414658
200054,6/1/2016,2417,5,5,8.5,44,14.2,1,1,2.92,34535812
200055,8/1/2023,2083,4,3,7.9,18,6.6,0,1,4.6,28796799
200056,8/1/2022,1682,4,3,5.8,18,13.5,0,0,5.81,20063880
200057,11/1/2022,2467,5,4,4.8,10,17.1,0,0,3.17,26398331
200058,8/1/2022,1082,2,2,9,18,4.9,1,1,4.48,16290420
200059,5/1/2017,920,2,3,2.1,23,25.4,1,1,2.37,5823686
200060,1/1/2017,1197,3,3,6.1,24,4.1,1,0,3.27,13835256
200061,6/1/2020,1615,3,3,5.7,31,11.6,0,0,2.29,20939132
200062,4/1/2019,1601,3,3,6.7,31,3.1,0,0,5.6,16070017
200063,9/1/2013,1715,2,2,3.8,7,19.7,1,1,8.05,13577788
200064,7/1/2010,1694,4,3,6.8,10,14.6,1,0,5.38,24399745
200065,2/1/2023,1580,3,2,8.8,27,3.6,0,1,3.62,25575464
200066,2/1/2017,988,2,1,4.8,18,18.6,1,1,5.3,8192715
200067,12/1/2017,1504,4,3,6.6,28,15.2,1,1,3.66,22791371
200068,3/1/2022,910,3,4,3.6,12,24.1,0,0,0.7,8920377
200069,6/1/2017,1831,4,4,4.8,60,18,1,0,8.8,15967991
200070,7/1/2010,708,1,1,7.8,28,11.2,0,0,5.54,8043137
200071,9/1/2015,1697,3,3,4.8,11,24.9,1,0,3.53,17298946
200072,12/1/2014,1518,3,2,8.4,19,8.3,1,1,3,19682473
200073,5/1/2013,2594,5,5,6,28,18.9,0,0,4.73,34110969
200074,1/1/2011,1448,3,4,8.6,13,6.5,0,0,4.53,22332562
200075,12/1/2013,1395,2,2,6.3,17,10.4,1,0,4.74,12371536
200076,10/1/2021,2249,4,4,8.2,15,7.7,1,1,4.5,30981050
200077,10/1/2021,1824,2,3,3.8,17,30.3,0,0,4.58,17285362
200078,6/1/2011,2523,5,4,6.4,10,2.8,1,0,2.88,31036624
200079,9/1/2013,2008,3,3,9.1,45,8.4,0,1,4.1,27213517
200080,11/1/2021,2024,4,4,6.4,7,8.9,0,0,5.93,25116019
200081,8/1/2014,1966,4,4,6.5,14,7.9,0,1,4.17,21895772
200082,1/1/2013,1116,2,1,8.5,37,1.7,1,0,1.5,13781332
200083,10/1/2011,1464,3,3,7.9,11,10.2,1,1,4.18,24097530
200084,9/1/2021,1654,3,3,5,6,18.6,1,1,5.91,19776424
200085,3/1/2019,1267,3,3,5.8,27,12,1,0,6.99,12357642
200086,9/1/2015,1301,1,1,5.2,28,23.6,0,1,4.8,11692048
200087,7/1/2019,500,1,1,3.8,22,11.7,0,1,7,3878760
200088,6/1/2023,2150,4,3,5.8,5,19.4,1,1,1.85,26746775
200089,12/1/2011,2004,3,2,4.9,7,14.4,0,0,2.87,15462140
200090,6/1/2012,1359,2,1,10,12,3.3,1,0,4.02,21234474
200091,5/1/2013,2002,3,2,6.6,80,14.6,1,0,1.86,17721620
200092,3/1/2012,1282,3,4,6.6,15,12.9,1,0,1.29,17750915
200093,12/1/2012,1194,2,2,7.7,33,7.9,1,0,2.32,14977848
200094,10/1/2015,2028,4,3,4.9,14,8.7,0,0,6.31,20345299
200095,4/1/2017,2347,6,5,4.6,17,16.6,0,0,3,21143041
200096,11/1/2013,2370,5,4,6.6,11,12.5,1,1,2.93,25089276
200097,4/1/2021,1833,4,4,6.1,27,1.6,0,1,2.73,22312068
200098,11/1/2020,1750,3,3,8.9,6,8.4,1,0,4.42,31287577
200099,8/1/2010,1644,4,4,5.6,62,22.3,0,1,4.74,15744355
200100,1/1/2022,2148,4,3,4.4,28,11.4,0,1,3.95,23096569
200101,10/1/2023,1278,3,3,7.7,52,15.9,1,0,3.54,16069668
200102,5/1/2021,1496,4,3,6.3,20,10.5,1,1,0.9,22145965
200103,1/1/2019,2395,5,3,6.9,32,12.3,1,0,4.85,25223779
200104,4/1/2019,897,1,1,7.2,26,7.5,1,0,4.01,11477327
200105,12/1/2022,1556,2,2,7.4,25,1.4,0,1,6.29,23871304
200106,3/1/2013,1837,4,2,6,21,5.7,0,0,3.17,21044432
200107,1/1/2022,967,2,2,6.5,30,21,1,0,2.97,12139246
200108,12/1/2014,1743,3,1,5.9,29,10.3,0,0,6.65,19392163
200109,3/1/2015,1563,2,1,5.9,24,24.7,1,0,1.62,16319307
